PassengerId,Survived_pred,Survived_prob
892,0,0.1277
893,1,0.5595
894,0,0.1399
895,0,0.1085
896,0,0.4429
897,0,0.1085
898,1,0.6865
899,0,0.1525
900,1,0.7232
901,0,0.1016
902,0,0.1085
903,0,0.2471
904,1,0.9083
905,0,0.1734
906,1,0.906
907,1,0.9059
908,0,0.1353
909,0,0.1824
910,0,0.4377
911,1,0.6459
912,0,0.3127
913,0,0.369
914,1,0.8991
915,0,0.479
916,1,0.942
917,0,0.0604
918,1,0.9571
919,0,0.1824
920,0,0.4115
921,0,0.13
922,0,0.1278
923,0,0.176
924,1,0.5173
925,0,0.4884
926,0,0.3932
927,0,0.1824
928,0,0.4435
929,0,0.4435
930,0,0.1085
931,0,0.4286
932,0,0.1372
933,0,0.3191
934,0,0.1076
935,1,0.8345
936,1,0.9588
937,0,0.1085
938,0,0.4296
939,0,0.1154
940,1,0.917
941,1,0.5543
942,0,0.3657
943,0,0.1337
944,1,0.821
945,1,0.7755
946,0,0.1861
947,0,0.0815
948,0,0.1202
949,0,0.1085
950,0,0.1419
951,1,0.9326
952,0,0.1085
953,0,0.1465
954,0,0.1085
955,1,0.6865
956,1,0.5259
957,1,0.8583
958,1,0.679
959,0,0.263
960,0,0.2877
961,0,0.4978
962,1,0.679
963,0,0.1085
964,0,0.4435
965,0,0.271
966,1,0.9326
967,0,0.3353
968,0,0.1085
969,1,0.9357
970,0,0.1327
971,1,0.679
972,1,0.8491
973,0,0.1104
974,0,0.318
975,0,0.1085
976,0,0.1211
977,0,0.0942
978,1,0.679
979,0,0.4435
980,1,0.679
981,1,0.7718
982,0,0.3689
983,0,0.1085
984,1,0.8604
985,0,0.1085
986,0,0.3447
987,0,0.1085
988,1,0.9651
989,0,0.1085
990,0,0.4939
991,0,0.1202
992,1,0.9736
993,0,0.1521
994,0,0.1154
995,0,0.1085
996,1,0.6733
997,0,0.1299
998,0,0.1154
999,0,0.1154
1000,0,0.1085
1001,0,0.1327
1002,0,0.0973
1003,1,0.679
1004,1,0.9394
1005,1,0.6865
1006,1,0.8253
1007,0,0.1286
1008,0,0.0904
1009,1,0.8399
1010,0,0.4211
1011,1,0.8554
1012,1,0.9203
1013,0,0.113
1014,1,0.9464
1015,0,0.1085
1016,0,0.1154
1017,1,0.5256
1018,0,0.1085
1019,1,0.616
1020,0,0.1316
1021,0,0.1085
1022,0,0.1202
1023,0,0.207
1024,0,0.1458
1025,0,0.0904
1026,0,0.1076
1027,0,0.1085
1028,0,0.1824
1029,0,0.1327
1030,0,0.4435
1031,0,0.0622
1032,0,0.138
1033,1,0.8992
1034,0,0.207
1035,0,0.1552
1036,0,0.3171
1037,0,0.1671
1038,0,0.2685
1039,0,0.1085
1040,0,0.3191
1041,0,0.1521
1042,1,0.9571
1043,0,0.1358
1044,0,0.0617
1045,0,0.4774
1046,0,0.0523
1047,0,0.1085
1048,1,0.8883
1049,0,0.4939
1050,0,0.3171
1051,0,0.4486
1052,1,0.6865
1053,1,0.6635
1054,1,0.8345
1055,0,0.1639
1056,0,0.1316
1057,0,0.4884
1058,0,0.3576
1059,0,0.1479
1060,1,0.9064
1061,0,0.4435
1062,0,0.1085
1063,0,0.1824
1064,0,0.082
1065,0,0.1358
1066,0,0.0856
1067,1,0.8689
1068,1,0.8618
1069,1,0.5234
1070,1,0.8358
1071,1,0.8234
1072,0,0.1327
1073,0,0.3115
1074,1,0.9599
1075,0,0.1154
1076,1,0.9459
1077,0,0.1711
1078,1,0.8583
1079,0,0.0857
1080,0,0.2347
1081,0,0.1316
1082,0,0.1676
1083,0,0.2524
1084,0,0.2356
