sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0078,0.9629,0.0293
6.9,3.1,5.1,2.3,virginica,0.0122,0.0233,0.9645
5.1,2.5,3.0,1.1,versicolor,0.0328,0.9496,0.0176
4.4,2.9,,0.2,setosa,0.6329,0.283,0.0841
5.9,3.0,5.1,1.8,virginica,0.0138,0.2215,0.7647
5.5,3.5,1.3,0.2,setosa,0.9585,0.0227,0.0188
5.6,,3.6,1.3,versicolor,0.0467,0.9388,0.0145
6.5,3.0,5.2,2.0,virginica,0.0105,0.0437,0.9457
5.3,3.7,1.5,0.2,setosa,0.9634,0.0202,0.0164
5.1,3.4,1.5,,setosa,0.8115,0.1333,0.0552
6.1,2.8,4.0,1.3,versicolor,0.0126,0.9773,0.0101
5.5,2.4,3.7,1.0,versicolor,0.0129,0.9777,0.0093
7.7,3.0,6.1,2.3,virginica,0.0179,0.0226,0.9595
6.9,3.1,4.9,1.5,versicolor,0.0182,0.7358,0.246
6.0,2.2,5.0,1.5,versicolor,0.0203,0.5804,0.3993
