id,loan_pred,loan_prob
58645,1,0.9984
58646,0,0.0223
58647,1,0.5307
58648,0,0.007
58649,0,0.0234
58650,1,0.9794
58651,0,0.0003
58652,0,0.0048
58653,1,0.5352
58654,0,0.0131
58655,0,0.1456
58656,0,0.0586
58657,0,0.0214
58658,0,0.0027
58659,0,0.018
58660,0,0.1371
58661,0,0.0205
58662,0,0.0004
58663,0,0.074
58664,0,0.0025
58665,0,0.0172
58666,0,0.0097
58667,0,0.0009
58668,0,0.0046
58669,0,0.0054
58670,0,0.0003
58671,0,0.2229
58672,0,0.0028
58673,1,0.8363
58674,0,0.0003
58675,0,0.0064
58676,0,0.0865
58677,0,0.0446
58678,0,0.0032
58679,0,0.2299
58680,1,0.9821
58681,0,0.0634
58682,0,0.0004
58683,0,0.0005
58684,0,0.19
58685,0,0.2072
58686,0,0.0172
58687,0,0.2734
58688,0,0.0866
58689,0,0.3066
58690,0,0.0
58691,0,0.0144
58692,0,0.0175
58693,0,0.0053
58694,0,0.087
58695,1,0.9852
58696,0,0.0097
58697,0,0.0139
58698,0,0.0051
58699,0,0.0082
58700,0,0.0104
58701,0,0.0017
58702,0,0.0121
58703,0,0.0697
58704,0,0.3558
58705,0,0.1048
58706,0,0.0086
58707,0,0.0138
58708,0,0.0357
58709,1,0.8542
58710,0,0.0386
58711,1,0.9187
58712,0,0.0996
58713,0,0.0006
58714,0,0.0158
58715,0,0.0021
58716,0,0.2339
58717,0,0.0386
58718,0,0.1427
58719,0,0.008
58720,0,1e-04
58721,0,0.1221
58722,0,0.1732
58723,0,0.0021
58724,0,0.0258
58725,0,0.0083
58726,0,0.0112
58727,0,0.1374
58728,0,0.1663
58729,0,0.0109
58730,0,0.0004
58731,0,0.0085
58732,0,0.1847
58733,0,0.0002
58734,0,0.0089
58735,0,0.0192
58736,0,0.0446
58737,0,0.0236
58738,1,0.9941
58739,1,0.505
58740,1,0.8487
58741,0,0.0396
58742,0,0.0013
58743,0,0.0154
58744,0,0.0044
58745,0,0.0066
58746,0,0.0552
58747,0,0.0015
58748,0,0.0202
58749,0,0.016
58750,0,0.0042
58751,0,0.0325
58752,1,0.9304
58753,0,0.0018
58754,0,0.0681
58755,0,0.1328
58756,0,0.0046
58757,0,0.0399
58758,0,0.009
58759,0,0.0014
58760,0,0.0004
58761,0,0.0085
58762,0,0.0029
58763,1,0.9656
58764,0,0.0007
58765,0,0.0181
58766,0,0.0076
58767,0,0.0043
58768,1,0.9446
58769,0,0.002
58770,0,0.0146
58771,0,0.0411
58772,0,0.019
58773,0,0.0156
58774,0,0.0095
58775,1,0.9635
58776,1,0.9543
58777,0,0.0087
58778,0,0.0738
58779,0,0.0382
58780,0,0.012
58781,0,0.0314
58782,0,0.072
58783,0,0.0389
58784,0,0.0151
58785,0,0.0015
58786,0,0.0901
58787,0,0.0416
58788,0,0.2091
58789,0,0.0093
58790,0,0.0204
58791,0,0.1231
58792,0,0.0003
58793,0,0.0447
58794,0,0.007
58795,0,0.0082
58796,0,0.0193
58797,0,0.0177
58798,0,0.0938
58799,1,0.7247
58800,0,0.0286
58801,0,0.0013
58802,1,0.9237
58803,0,0.1627
58804,1,0.5239
58805,1,0.8906
58806,0,0.0437
58807,0,0.0084
58808,0,0.0067
58809,1,0.9721
58810,1,0.9308
58811,0,0.0307
58812,0,0.0267
58813,0,0.0595
58814,0,0.0551
58815,0,0.0039
58816,0,0.0128
58817,0,0.0026
58818,0,0.0241
58819,0,0.1255
58820,0,0.0012
58821,0,0.019
58822,0,0.0016
58823,0,0.1547
58824,0,0.0628
58825,0,0.0004
58826,0,0.128
58827,0,0.0092
58828,0,0.0022
58829,0,0.1812
58830,0,0.0147
58831,0,0.2533
58832,0,0.0083
58833,0,0.0123
58834,0,0.0075
58835,1,0.9729
58836,0,0.0297
58837,0,0.0559
58838,0,0.0041
58839,0,0.0003
58840,0,0.0041
58841,1,0.9402
58842,0,0.0017
58843,0,0.015
58844,0,0.0557
58845,0,0.0703
58846,0,1e-04
58847,1,0.9252
58848,0,0.215
58849,0,0.114
58850,0,0.0216
58851,0,0.0657
58852,0,0.3576
58853,0,0.0215
58854,1,0.9981
58855,0,0.2837
58856,0,0.0014
58857,0,0.0384
58858,0,0.2267
58859,0,0.0117
58860,0,0.002
58861,0,0.0161
58862,0,0.1798
58863,0,0.2715
58864,0,0.0066
58865,0,0.2714
58866,0,0.0103
58867,0,0.0
58868,0,0.0271
58869,0,0.0123
58870,0,0.215
58871,0,0.0021
58872,0,0.0155
58873,0,0.0078
58874,1,0.9744
58875,0,0.0057
58876,0,0.0073
58877,0,0.0003
58878,0,0.0528
58879,0,0.0061
58880,0,0.0179
58881,0,0.0198
58882,0,0.0011
58883,0,0.2331
58884,0,0.1357
58885,0,0.1389
58886,0,0.0008
58887,1,0.9102
58888,0,0.3195
58889,1,0.9857
58890,0,0.1373
58891,0,0.3759
58892,0,0.0458
58893,0,0.0073
58894,0,0.0637
58895,0,0.0009
58896,0,0.002
58897,0,0.0343
58898,0,0.1642
58899,1,0.9815
58900,0,0.0101
58901,0,0.0725
58902,0,0.1944
58903,0,0.0044
58904,0,0.0275
58905,0,0.0031
58906,0,0.0785
58907,0,0.0426
58908,0,0.0079
58909,0,0.0277
58910,0,0.0127
58911,0,0.0373
58912,0,0.0005
58913,0,0.1628
58914,0,0.0317
58915,0,0.0093
58916,0,0.014
58917,0,0.0627
58918,0,0.0132
58919,0,0.0006
58920,0,0.244
58921,0,0.0018
58922,0,0.0288
58923,0,0.0026
58924,0,0.0356
58925,0,0.0134
58926,0,0.1363
58927,0,0.0187
58928,0,0.1121
58929,0,0.0009
58930,0,0.0092
58931,1,0.9044
58932,1,0.9414
58933,0,0.1442
58934,0,0.0319
58935,0,0.0156
58936,0,0.028
58937,0,0.0186
58938,0,0.0093
58939,0,0.0045
58940,0,0.0061
58941,1,0.9757
58942,1,0.9258
58943,0,0.044
58944,0,0.0121
58945,0,0.0215
58946,0,0.014
58947,0,0.0066
58948,0,0.0081
58949,0,0.0005
58950,0,0.3932
58951,0,0.0531
58952,0,0.0114
58953,0,0.0032
58954,1,0.9991
58955,0,0.0063
58956,0,0.0011
58957,1,0.9952
58958,1,0.9994
58959,0,0.0038
58960,0,0.0356
58961,0,0.0043
58962,0,0.0569
58963,0,0.0559
58964,0,0.0205
58965,0,0.0182
58966,0,0.0229
58967,0,0.0021
58968,0,0.0098
58969,0,0.1879
58970,0,0.003
58971,0,0.0973
58972,0,0.0285
58973,1,0.9862
58974,0,0.1024
58975,0,0.0429
58976,0,0.0313
58977,0,0.0578
58978,0,0.0098
58979,0,0.014
58980,0,0.0149
58981,0,0.0016
58982,0,0.0044
58983,0,0.0016
58984,0,0.0118
58985,0,0.0578
58986,1,0.9812
58987,0,0.0023
58988,0,0.0147
58989,0,0.0271
58990,0,0.0006
58991,0,0.0177
58992,0,0.0171
58993,0,0.0012
58994,0,0.0144
58995,1,0.9995
58996,0,0.0205
58997,1,0.8523
58998,0,0.0062
58999,0,0.0083
59000,0,0.0464
59001,0,0.0598
59002,0,0.1214
59003,0,0.0366
59004,0,0.0315
59005,0,0.0009
59006,0,0.03
59007,0,0.029
59008,1,0.9899
59009,0,0.0129
59010,0,0.0067
59011,0,0.0184
59012,0,0.0193
59013,0,0.0007
59014,0,0.0048
59015,0,0.1315
59016,0,0.0175
59017,0,0.0197
59018,0,0.0413
59019,0,0.0113
59020,0,0.0026
59021,0,0.0169
59022,0,0.0512
59023,1,0.9369
59024,0,0.0538
59025,1,0.9893
59026,0,0.0096
59027,0,0.003
59028,0,0.0206
59029,0,0.0538
59030,0,0.0024
59031,1,0.8621
59032,1,0.8187
59033,0,0.0768
59034,0,0.0496
59035,0,0.0057
59036,0,0.0596
59037,0,0.0799
59038,0,0.0106
59039,0,0.018
59040,0,0.0125
59041,0,0.015
59042,0,0.0456
59043,1,0.9547
59044,0,0.0023
59045,0,0.007
59046,0,0.2209
59047,0,0.319
59048,0,0.0073
59049,0,0.0287
59050,0,0.0015
59051,0,0.0284
59052,0,0.0026
59053,0,0.0384
59054,0,0.0352
59055,0,0.0282
59056,0,0.006
59057,1,0.9438
59058,0,0.0062
59059,0,0.164
59060,0,0.0015
59061,0,0.0242
59062,0,0.0113
59063,0,0.0008
59064,0,0.0075
59065,0,0.0005
59066,0,0.0422
59067,0,0.0022
59068,0,0.028
59069,0,0.0265
59070,0,0.0098
59071,0,0.1271
59072,0,0.0133
59073,1,0.9718
59074,0,0.0152
59075,0,0.015
59076,0,0.0313
59077,1,0.9968
59078,0,0.0237
59079,0,0.0606
59080,0,0.0032
59081,0,0.0181
59082,0,0.0268
59083,0,0.004
59084,0,0.0006
59085,0,0.0195
59086,0,0.1544
59087,0,0.053
59088,0,0.0255
59089,0,0.0453
59090,0,0.0383
59091,0,0.0009
59092,0,0.1171
59093,0,0.0187
59094,0,0.0046
59095,0,0.0002
59096,1,0.9789
59097,0,0.0667
59098,0,0.0184
59099,0,0.0086
59100,0,0.0018
59101,0,0.0062
59102,0,0.0242
59103,0,0.0341
59104,0,1e-04
59105,0,0.0462
59106,0,0.0002
59107,0,0.0156
59108,0,0.0324
59109,0,0.0348
59110,0,0.026
59111,0,0.0072
59112,0,0.0154
59113,1,0.9823
59114,0,0.0338
59115,0,0.2189
59116,0,0.0015
59117,0,0.0065
59118,0,0.0232
59119,0,0.011
59120,0,0.0011
59121,0,0.0107
59122,0,0.0093
59123,1,0.9974
59124,1,0.9805
59125,0,0.0364
59126,1,0.7914
59127,0,0.0091
59128,0,0.009
59129,0,0.0039
59130,0,0.0162
59131,0,0.0354
59132,0,0.1946
59133,1,0.8538
59134,0,0.0448
59135,0,0.0
59136,0,0.0022
59137,0,0.0226
59138,0,0.01
59139,0,0.0015
59140,0,0.0367
59141,1,0.9843
59142,0,0.1578
59143,0,0.0115
59144,0,0.0116
59145,0,0.0208
59146,0,0.0213
59147,0,0.0269
59148,0,0.0156
59149,0,0.0076
59150,0,0.0057
59151,0,0.0181
59152,0,0.0109
59153,0,0.0004
59154,0,0.0663
59155,0,0.0999
59156,0,0.1124
59157,0,0.0269
